"Voltaje","contrast","estimate","SE","df","t.ratio","p.value","Channel","Concentration","Variable","sig"
-10,"Control - Veneno",0.551619705589506,0.580786652420558,475.3079031904,0.949780273514392,0.342706583592822,"BgNav1","1","Corriente",""
-5,"Control - Veneno",0.5782764629914,0.579591100958667,475.3079031904,0.997731783726332,0.318917095820855,"BgNav1","1","Corriente",""
0,"Control - Veneno",0.607436642915194,0.581853202443736,475.3079031904,1.04396889174797,0.297030440583784,"BgNav1","1","Corriente",""
5,"Control - Veneno",0.644702035293414,0.578774119717812,475.3079031904,1.11390957772567,0.265880942873086,"BgNav1","1","Corriente",""
10,"Control - Veneno",0.673956614197145,0.582325231460506,475.3079031904,1.15735430612687,0.247708909661345,"BgNav1","1","Corriente",""
15,"Control - Veneno",0.663038667410153,0.578735183981673,475.3079031904,1.14566849530121,0.252508837085147,"BgNav1","1","Corriente",""
20,"Control - Veneno",0.597963780974973,0.581911439215358,475.3079031904,1.02758554081917,0.304667473183352,"BgNav1","1","Corriente",""
25,"Control - Veneno",0.494418925996109,0.579652117135647,475.3079031904,0.852958026685527,0.394112191351494,"BgNav1","1","Corriente",""
30,"Control - Veneno",0.371976531736613,0.580568683504372,475.3079031904,0.640710638216524,0.522019474042268,"BgNav1","1","Corriente",""
35,"Control - Veneno",0.23353586086133,0.581466765494733,475.3079031904,0.401632345509255,0.688135140551722,"BgNav1","1","Corriente",""
40,"Control - Veneno",0.0798691200274099,0.578497656711926,475.3079031904,0.13806299662711,0.890249099318108,"BgNav1","1","Corriente",""
45,"Control - Veneno",-0.0688430345022051,0.584238467580743,475.3079031904,-0.117833792744383,0.906249130795847,"BgNav1","1","Corriente",""
50,"Control - Veneno",-0.183023168635649,0.578226396052006,475.3079031904,-0.31652510138812,0.751742939172048,"BgNav1","1","Corriente",""
55,"Control - Veneno",-0.253056522722415,0.59398797965257,475.3079031904,-0.426029703278558,0.670279058335295,"BgNav1","1","Corriente",""
60,"Control - Veneno",-0.295738535216679,0.580728784698514,475.3079031904,-0.509254135508734,0.610810434922875,"BgNav1","1","Corriente",""
65,"Control - Veneno",-0.331170917185009,0.724712576100266,475.3079031904,-0.456968635713574,0.647902361221553,"BgNav1","1","Corriente",""
-90,"Control - Veneno",0.00195929702111951,0.0760226653121097,274.802411000833,0.0257725378750621,0.979457471368431,"BgNav1","1","Var1",""
-85,"Control - Veneno",0.00194765015764093,0.0604060743733841,274.802411000833,0.0322426209258699,0.974301972686856,"BgNav1","1","Var1",""
-80,"Control - Veneno",0.00337107486726238,0.0596838674931694,274.802411000833,0.0564821786665918,0.954998737444425,"BgNav1","1","Var1",""
-75,"Control - Veneno",-0.000229842360845093,0.0588768083972857,274.802411000833,-0.00390378431001516,0.996888071052732,"BgNav1","1","Var1",""
-70,"Control - Veneno",-0.000393673023644836,0.0590389278009745,274.802411000833,-0.00666802461203129,0.99468456355902,"BgNav1","1","Var1",""
-65,"Control - Veneno",-0.00210308570855926,0.0591745103599262,274.802411000833,-0.0355403989955698,0.971674635191898,"BgNav1","1","Var1",""
-60,"Control - Veneno",-0.00160028126672487,0.0589942695687938,274.802411000833,-0.0271260459434753,0.978378888991967,"BgNav1","1","Var1",""
-55,"Control - Veneno",0.0243657752246707,0.0588668293653227,274.802411000833,0.413913497420741,0.679260319409342,"BgNav1","1","Var1",""
-50,"Control - Veneno",0.0620470799609609,0.0590081710912817,274.802411000833,1.05149979762935,0.293952860167592,"BgNav1","1","Var1",""
-45,"Control - Veneno",0.0921363976700817,0.0591350144788436,274.802411000833,1.55806840468509,0.120367916686188,"BgNav1","1","Var1",""
-40,"Control - Veneno",0.098696228965138,0.0590081710912776,274.802411000833,1.67258579854082,0.0955469203800721,"BgNav1","1","Var1",""
-35,"Control - Veneno",0.0577695217404112,0.0588668293653251,274.802411000833,0.981359491639951,0.327278681934599,"BgNav1","1","Var1",""
-30,"Control - Veneno",0.00750286676337807,0.0589942695687942,274.802411000833,0.127179585716013,0.898891272978214,"BgNav1","1","Var1",""
-25,"Control - Veneno",-0.00973295213785226,0.0591745103599238,274.802411000833,-0.164478794647432,0.869475155330465,"BgNav1","1","Var1",""
