"Voltaje","Trat","emmean","SE","df","lower.CL","upper.CL","Channel","Concentration","Variable"
-90,"Control",0.00395343526233986,0.0540107553166286,274.802411000834,-0.102373980900916,0.110280851425596,"BgNav1","1","Var1"
-90,"Veneno",0.0019941382412273,0.0535003173007761,274.802411000834,-0.103328412224096,0.107316688706551,"BgNav1","1","Var1"
-85,"Control",0.00330385906711164,0.0432116156406741,274.802411000834,-0.0817640021834428,0.0883717203176661,"BgNav1","1","Var1"
-85,"Veneno",0.00135620890947241,0.0422095971898289,274.802411000834,-0.0817390446224583,0.0844514624414031,"BgNav1","1","Var1"
-80,"Control",0.00559447244670119,0.0426016882070844,274.802411000834,-0.0782726648428477,0.0894616097362501,"BgNav1","1","Var1"
-80,"Veneno",0.00222339757944693,0.0418002416362348,274.802411000834,-0.0800659846394354,0.0845127797983292,"BgNav1","1","Var1"
-75,"Control",0.000751361510272433,0.0420269320962064,274.802411000834,-0.0819842912844674,0.0834870143050122,"BgNav1","1","Var1"
-75,"Veneno",0.000981203871114515,0.0412336700480492,274.802411000834,-0.0801928061836474,0.0821552139258764,"BgNav1","1","Var1"
-70,"Control",-0.00534484326822917,0.0421836555247296,274.802411000834,-0.0883890271529237,0.0776993406164654,"BgNav1","1","Var1"
-70,"Veneno",-0.00495117024458789,0.0413053774036753,274.802411000834,-0.0862663458468215,0.0763640053576457,"BgNav1","1","Var1"
-65,"Control",-0.0162532795843837,0.0422913101871331,274.802411000834,-0.0995093961114601,0.0670028369426926,"BgNav1","1","Var1"
-65,"Veneno",-0.0141501938758215,0.0413892227396463,274.802411000834,-0.0956304302678713,0.0673300425162282,"BgNav1","1","Var1"
-60,"Control",-0.0120616411873527,0.0421501078321218,274.802411000834,-0.0950397819394838,0.0709164995647784,"BgNav1","1","Var1"
-60,"Veneno",-0.0104613599206325,0.0412758070992691,274.802411000834,-0.0917183224124543,0.0707956025711893,"BgNav1","1","Var1"
-55,"Control",0.0914668186158014,0.0420503232785923,274.802411000834,0.00868511714113644,0.174248520090466,"BgNav1","1","Var1"
-55,"Veneno",0.0671010433911352,0.0411955569411602,274.802411000834,-0.0139979359007036,0.148200022682974,"BgNav1","1","Var1"
-50,"Control",0.333110205472662,0.0421611059232985,274.802411000834,0.250110413502904,0.41610999744242,"BgNav1","1","Var1"
-50,"Veneno",0.271063125511704,0.0412844450472799,274.802411000834,0.189789158060637,0.35233709296277,"BgNav1","1","Var1"
-45,"Control",0.638315615370797,0.0422605176463268,274.802411000834,0.555120118090421,0.721511112651172,"BgNav1","1","Var1"
-45,"Veneno",0.546179217700712,0.041364218663932,274.802411000834,0.464748205185438,0.627610230215987,"BgNav1","1","Var1"
