Canal,Tratamiento,Concentracion,Celula,Voltaje,Corriente,Var1,Var2
Nav1.4,Veneno,2,1,-30,-0.7667428851,0.5144220012,
Nav1.4,Veneno,2,1,-25,-1.035115242,0.7395739586,
Nav1.4,Veneno,2,1,-20,-1.176036835,0.8986116823,
Nav1.4,Veneno,2,1,-15,-1.19024694,0.9773405161,
Nav1.4,Veneno,2,1,-10,-1.126958847,1,
Nav1.4,Veneno,2,1,-5,-1.008040667,0.9729417266,
Nav1.4,Veneno,2,1,0,-0.8632849455,0.9133441597,
Nav1.4,Veneno,2,1,5,-0.7093083858,,
Nav1.4,Veneno,2,1,10,-0.5620027184,,
Nav1.4,Veneno,2,1,15,-0.4232194126,,
Nav1.4,Veneno,2,1,20,-0.3216900826,,
Nav1.4,Veneno,2,1,25,-0.238465175,,
Nav1.4,Veneno,2,1,30,-0.1745277792,,
Nav1.4,Veneno,2,1,35,-0.1300478876,,
Nav1.4,Veneno,2,1,40,-0.0920279026,,
Nav1.4,Veneno,2,1,45,-0.04558384418,,
Nav1.4,Veneno,2,1,50,-0.02115748823,,
Nav1.4,Veneno,2,1,55,0.01724755764,,
Nav1.4,Veneno,2,1,60,0.04835295677,,
Nav1.4,Veneno,2,1,65,0.08262890577,,
Nav1.4,Control,2,2,-90,-0.05072853714,0.02843196145,
Nav1.4,Control,2,2,-85,-0.04496487975,0.0259652732,
Nav1.4,Control,2,2,-80,-0.04119642079,0.02453256211,
Nav1.4,Control,2,2,-75,-0.03812154382,0.02343377125,
Nav1.4,Control,2,2,-70,-0.03323641419,0.02111185079,
Nav1.4,Control,2,2,-65,-0.032309331,0.02123065376,
Nav1.4,Control,2,2,-60,-0.04284483194,0.02915907966,
Nav1.4,Control,2,2,-55,-0.05943991989,0.04195153452,
Nav1.4,Control,2,2,-50,-0.07957921177,0.05832566313,
Nav1.4,Control,2,2,-45,-0.1151414365,0.08776574315,
Nav1.4,Control,2,2,-40,-0.1726393253,0.1370761469,
Nav1.4,Control,2,2,-35,-0.3854023218,0.3193154194,
Nav1.4,Control,2,2,-30,-0.8349262476,0.7232006925,
Nav1.4,Control,2,2,-25,-1.060756326,0.9625642672,
Nav1.4,Control,2,2,-20,-1.049534202,1,
Nav1.4,Control,2,2,-15,-0.9576716423,0.9604979155,
Nav1.4,Control,2,2,-10,-0.8289429545,0.8775776205,
Nav1.4,Control,2,2,-5,-0.7072286606,0.7927647494,
Nav1.4,Control,2,2,0,-0.5930929184,0.706376359,
Nav1.4,Control,2,2,5,-0.4886789024,,
Nav1.4,Control,2,2,10,-0.4114995003,,
Nav1.4,Control,2,2,15,-0.3474472463,,
Nav1.4,Control,2,2,20,-0.2976180613,,
Nav1.4,Control,2,2,25,-0.2610917687,,
Nav1.4,Control,2,2,30,-0.2452110499,,
Nav1.4,Control,2,2,35,-0.2158471346,,
Nav1.4,Control,2,2,40,-0.1865803003,,
Nav1.4,Control,2,2,45,-0.1691136211,,
Nav1.4,Control,2,2,50,-0.1437193006,,
Nav1.4,Control,2,2,55,-0.1146859825,,
Nav1.4,Control,2,2,60,-0.0846331045,,
Nav1.4,Control,2,2,65,-0.06651213765,,
Nav1.4,Control,2,3,-90,-0.05520057678,0.0123339195,
Nav1.4,Control,2,3,-85,-0.0518283844,0.01218359084,
Nav1.4,Control,2,3,-80,-0.04556083679,0.01129871795,
Nav1.4,Control,2,3,-75,-0.03798294067,0.009967104271,
